fname	PID	URL	タイトル	巻次	シリーズ	版表示	著者	出版者	出版年	出版年(W3CDTF)	ISBN	冊数（ページ数・大きさ）	NDC分類	NDC分類（第８版）	NDC分類（第９版）	NDLC分類	件名（NDLSH）	公開範囲
1219457_119_0.jpg	1219457	https://dl.ndl.go.jp/info:ndljp/pid/1219457	五十音別全国駅名粁程表 : 所在地明細・附別葉地図				運輸実務研究会 編	運輸実務研究会	昭11	1936		270p ; 23cm	686					インターネット公開（保護期間満了）
1219457_119_5.jpg	1219457	https://dl.ndl.go.jp/info:ndljp/pid/1219457	五十音別全国駅名粁程表 : 所在地明細・附別葉地図				運輸実務研究会 編	運輸実務研究会	昭11	1936		270p ; 23cm	686					インターネット公開（保護期間満了）
1219457_121_3.jpg	1219457	https://dl.ndl.go.jp/info:ndljp/pid/1219457	五十音別全国駅名粁程表 : 所在地明細・附別葉地図				運輸実務研究会 編	運輸実務研究会	昭11	1936		270p ; 23cm	686					インターネット公開（保護期間満了）
1221169_25_2.jpg	1221169	https://dl.ndl.go.jp/info:ndljp/pid/1221169	施肥標準調査成績	第2報			三重県立農事試験場 編	三重県立農事試験場	昭和12	1937			613					インターネット公開（保護期間満了）
1221169_25_3.jpg	1221169	https://dl.ndl.go.jp/info:ndljp/pid/1221169	施肥標準調査成績	第2報			三重県立農事試験場 編	三重県立農事試験場	昭和12	1937			613					インターネット公開（保護期間満了）
1221169_43_1.jpg	1221169	https://dl.ndl.go.jp/info:ndljp/pid/1221169	施肥標準調査成績	第2報			三重県立農事試験場 編	三重県立農事試験場	昭和12	1937			613					インターネット公開（保護期間満了）
1221169_49_0.jpg	1221169	https://dl.ndl.go.jp/info:ndljp/pid/1221169	施肥標準調査成績	第2報			三重県立農事試験場 編	三重県立農事試験場	昭和12	1937			613					インターネット公開（保護期間満了）
1222184_250_1.jpg	1222184	https://dl.ndl.go.jp/info:ndljp/pid/1222184	内線規程	昭和13年7月15日実施		改訂12版	東京電灯株式会社 編	東京電灯	昭13	1938		547p ; 17cm	544					インターネット公開（保護期間満了）
1222443_1155_0.jpg	1222443	https://dl.ndl.go.jp/info:ndljp/pid/1222443	日本紙業綜覧	昭和12年版			王子製紙株式会社販売部調査課 編	王子製紙	昭12	1937		947, 150p ; 23cm	585					インターネット公開（保護期間満了）
1222443_1155_2.jpg	1222443	https://dl.ndl.go.jp/info:ndljp/pid/1222443	日本紙業綜覧	昭和12年版			王子製紙株式会社販売部調査課 編	王子製紙	昭12	1937		947, 150p ; 23cm	585					インターネット公開（保護期間満了）
1222443_1157_0.jpg	1222443	https://dl.ndl.go.jp/info:ndljp/pid/1222443	日本紙業綜覧	昭和12年版			王子製紙株式会社販売部調査課 編	王子製紙	昭12	1937		947, 150p ; 23cm	585					インターネット公開（保護期間満了）
1222443_1157_2.jpg	1222443	https://dl.ndl.go.jp/info:ndljp/pid/1222443	日本紙業綜覧	昭和12年版			王子製紙株式会社販売部調査課 編	王子製紙	昭12	1937		947, 150p ; 23cm	585					インターネット公開（保護期間満了）
1222443_1169_1.jpg	1222443	https://dl.ndl.go.jp/info:ndljp/pid/1222443	日本紙業綜覧	昭和12年版			王子製紙株式会社販売部調査課 編	王子製紙	昭12	1937		947, 150p ; 23cm	585					インターネット公開（保護期間満了）
1222443_1215_0.jpg	1222443	https://dl.ndl.go.jp/info:ndljp/pid/1222443	日本紙業綜覧	昭和12年版			王子製紙株式会社販売部調査課 編	王子製紙	昭12	1937		947, 150p ; 23cm	585					インターネット公開（保護期間満了）
1222443_1246_0.jpg	1222443	https://dl.ndl.go.jp/info:ndljp/pid/1222443	日本紙業綜覧	昭和12年版			王子製紙株式会社販売部調査課 編	王子製紙	昭12	1937		947, 150p ; 23cm	585					インターネット公開（保護期間満了）
1222443_1297_0.jpg	1222443	https://dl.ndl.go.jp/info:ndljp/pid/1222443	日本紙業綜覧	昭和12年版			王子製紙株式会社販売部調査課 編	王子製紙	昭12	1937		947, 150p ; 23cm	585					インターネット公開（保護期間満了）
1223064_64_0.jpg	1223064	https://dl.ndl.go.jp/info:ndljp/pid/1223064	アマチュア写真講座	第1巻			佐和九郎 著	アルス	昭11至12	1937			740					インターネット公開（保護期間満了）
1224106_246_0.jpg	1224106	https://dl.ndl.go.jp/info:ndljp/pid/1224106	国産総覧	昭和6年版			国産調査協会 編	国産調査協会	昭和6	1931		120, 283, 372p ; 27cm	602.1					インターネット公開（保護期間満了）
1224106_246_3.jpg	1224106	https://dl.ndl.go.jp/info:ndljp/pid/1224106	国産総覧	昭和6年版			国産調査協会 編	国産調査協会	昭和6	1931		120, 283, 372p ; 27cm	602.1					インターネット公開（保護期間満了）
